"","X","Unnamed..0","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","All_Event","AllCells_events","LiveCells_events","Singlets1_events","Singlets2_events","pCD4_events","pCD8_events","pDP_events","pDN_events","CD4_events","CD8_events","Bcells_events","TCRb_events","x4Tregs_events","x8Tregs_events","DN_events","DP_events","CD4prol_events","CD8Prol_events","BcellProl_events","x4tregProl_events","x8tregsProl","DPprol_events","DNProl_events","intage","Bratio","CD4Ratio","CD8Ratio","DPRatio","DNRatio","X4TregRatio","X8TregRatio","TCRbRatio","CD4ProlRatio","CD8ProlRatio","BProlRatio","X4TregProlRatio","X8TregProlRatio","Bct","CD4CT","CD8ct","DPct","DNct","X4TregCT","X8TregCT","TCRbCT","CD4ProlCT","CD8ProlCT","BprolCT","X4TregProlCT","X8TregProlCT","ThymicDerivedTregsCT","NaiveDerivedTregsCT","NoTregCD4CT","ActivatedCD4CT","EarlyActivatedCD4CT","NaiveCT","hours","ActivatedProlRatio","NonProlActivatedRatio","NaiveProlCT","ThymicNaive","ActivatedProlCT","NonProlActivatedCT","ActivatedNaiveCT"
"11",30,31,NA,57,72,"GM032718D20WTS","57_72_GM032718D20wts.fcs compensated","GM","3/27/2018","Spleen",8368,1,9914,"3/7/2018","M",18,"WT",12.9,0.102,28.2,562118,434681,431050,427054,420510,37402,14912,872,364598,36355,14615,319847,51602,4543,42,57,260,11427,5656,254914,2615,10,155,21,18,0.760616869991201,0.0889443770659437,0.0354617012675085,0.0020736724453639,0.0001355496896625,0.124962178517398,0.0028737598357851,0.122712896245036,0.314317150323202,0.386999657885734,0.796987309557382,0.575610829848118,0.238095238095238,21.4493957337519,2.50823143325961,1.00001997574374,0.0584775629592637,0.0038225012484839,313434.064125937,0.0028738172412752,3.46050367411001,788380.156453242,0.387007388491727,17.0948961974745,180416.041754199,0.0006842422003036,10400.1348527893,122617.887518949,2.19479736913368,364592.422969257,0.014048961365082,1830204.94616442,432,0.314317150323202,0.685682849676798,575264.803185831,1254940.14297859,114597.651417128,249994.771552128,364592.422969257
"12",32,33,NA,35,76,"JA033018D12WTS","35_76_JA033018D12WTS.fcs compensated","JA","3/30/2018","Spleen",7699,1,9948,"3/18/2018","M",12,"WT",10.9,0.095,31.64,757389,594789,586895,567243,548188,21392,10114,1406,513707,21075,9732,267688,36969,2151,11,172,160,5464,3019,187514,1116,5,100,87,12,0.488314227965588,0.0390231088604639,0.0184498748604493,0.0025648135311243,0.000313760972513,0.102064056939502,0.0011302918207973,0.0674385429816049,0.25926453143535,0.310213727907933,0.700494605660321,0.518828451882845,0.454545454545455,15.4502621728312,1.23469116434508,0.583754040584617,0.0811507001247747,0.0099273971703138,126017.589300416,0.0006598124174302,2.13375549993798,320111.626191294,0.181088517111073,10.822825308106,65381.510766743,0.0002999147351955,3026.4096361053,57609.6688975676,1.10867357504466,89996.5774542503,0.00386985283053276,1018676.99759041,288,0,1,264106.814464247,754570.183126163,23332.9204844614,89996.5774542503,89996.5774542503
"13",34,35,NA,17,80,"JA042618D7WTS_1","17_80_JA042618D7WTS_1.fcs compensated","JA","4/26/2018","Spleen",8813,1,10021,"4/19/2018","",7,"WT",4.439,0.029,8.8,616794,500762,494505,488334,479948,25375,9077,1896,440855,24618,8173,137416,37193,3215,7,146,191,6263,2427,61327,1807,2,71,31,7,0.286314350721328,0.052870310950353,0.0189124655170977,0.0039504279630293,0.0003041996216256,0.130595499228207,0.0008564786492108,0.0774938118296149,0.254407344219677,0.296953383090664,0.446287186353845,0.562052877138414,0.285714285714286,2.51956628634769,0.465258736363106,0.16642969655046,0.0347637660746581,0.0026769566703059,60760.6969456246,0.0001425434816901,0.681945544100611,118365.23949314,0.0494218614374117,1.12445014876612,34150.7245352235,4.07267090543153e-05,1392.4884271363,25217.4839832647,0.404498039417481,27627.216092214,0.000978003449664374,376870.823325267,168,0.095174255421801,0.904825744578199,95878.7052760643,280992.118049203,7028.56667420327,24997.8163712603,27627.216092214
"14",36,37,NA,19,84,"JA042618D7WTS_3","19_84_JA042618D7WTS_3.fcs compensated","JA","4/26/2018","Spleen",8813,1,10022,"4/19/2018","",7,"WT",4.018,0.028,11.6,535957,392565,386915,380653,370786,11340,4322,2098,351098,10912,3751,91985,18912,1226,22,67,217,3191,1274,44377,676,21,142,15,7,0.24808110338578,0.0305836789954313,0.0116563192785057,0.0056582503115004,0.0001806972215779,0.112353372434018,0.0058651026392961,0.0510051620071955,0.292430351906158,0.339642761930152,0.482437353916399,0.551386623164764,0.954545454545455,2.87774079927505,0.354770676347003,0.135213303630666,0.065635703613405,0.0020960877703041,39859.6819282832,0.0007930399039921,0.591659879283468,103745.71373014,0.0459242198948195,1.38832965645952,21978.0954188576,0.0007569926356288,813.7935874061,17067.7929220195,0.31491099441872,21508.4209187986,0.00076139810052547,293402.573499921,168,0.056236946505642,0.943763053494358,85799.8178187544,207602.755681167,6289.71509823004,20298.8530021673,21508.4209187986
"15",38,39,NA,9,88,"GM042718D4WTS","9_88_GM042718D4WTS.fcs compensated","GM","4/27/2018","Spleen",1307,0,2,"4/23/2018","",4,"WT",2.4,0.013,11.5,538608,302612,289484,281555,260842,5269,2426,25613,223420,5060,2103,83512,9763,119,4,7166,24418,3639,1781,65589,50,1,23479,6186,4,0.320163163907653,0.0201999677965972,0.0093006494352903,0.0981935424509857,0.0274725696015212,0.0235177865612648,0.0019020446980504,0.0374287883086313,0.719169960474308,0.846885401806942,0.785384136411534,0.420168067226891,0.25,3.68187638493801,0.232299629660867,0.106957468505839,1.12922573818634,0.315934550417494,5463.1731086251,0.0002034378858884,0.43043106554926,167062.915481403,0.0905807186918207,2.89168730495856,2295.4508859769,5.08594714721059e-05,123.3186484402,3044.4035742079,0.226836456552242,10925.9559905997,0.00104051520883811,215910.500561642,96,0.508925767502301,0.491074232497699,155276.346154904,60634.1544067379,7857.61933790358,5365.45545238736,10925.9559905997
"16",40,41,NA,23,92,"AD050318D9WTS_1","23_92_AD050318D9WTS_1.fcs compensated","AD","5/3/2018","Spleen",1293,1,10037,"","",9,"WT",6.2,0.054,7.25,607724,386577,375993,367162,359208,8750,4135,356,345034,8560,3903,69060,13295,961,4,3196,170,3158,1610,49525,647,1,134,1774,9,0.192256297187145,0.0243591456760428,0.0115114362709071,0.0009910692412195,0.0088973519520723,0.112266355140187,0.0010248526774276,0.0370119819157703,0.36892523364486,0.412503202664617,0.717130031856357,0.673257023933403,0.25,1.3938581546068,0.176603806151311,0.0834579129640765,0.0071852519988419,0.0645058016525244,19826.6656204918,8.55320655537551e-05,0.268336868889334,65153.6004469438,0.0344266563853864,0.999577542816418,13348.441890175,2.13830163884388e-05,420.3991671242,6057.8245631925,0.156777140530819,19385.4934266358,0.000800620878520057,137391.647104183,216,0.158007845393046,0.841992154606954,50687.245508763,86704.4015954203,7151.7976917425,16322.433378412,19385.4934266358
"17",42,43,NA,25,96,"AD050318D9WTS_3","25_96_AD050318D9WTS_3.fcs compensated","AD","5/3/2018","Spleen",1293,1,10036,"","",9,"WT",5.7,0.054,9.15,609005,364344,348474,336383,323468,6878,3548,1656,310315,6732,3323,53959,12847,777,3,5261,1496,2572,1498,37666,493,1,1343,3013,9,0.166814027971855,0.0212633088899056,0.0109686274994744,0.0051195172319982,0.0162643599985161,0.11541889483066,0.0009027986758952,0.0397164479948557,0.382055852644088,0.450797472163707,0.698048518319465,0.634491634491634,0.333333333333333,1.52634835594247,0.194559276342637,0.100362941620191,0.0468435826727837,0.148818893986422,22455.81665452,9.06075308036634e-05,0.36340549915293,74332.5102129028,0.0452433603812959,1.06546520830499,14248.0278129709,3.02025102678878e-05,560.721131458,7647.067710091,0.172103459688117,21280.5927904357,0.000878888482244993,150822.866897681,216,0.122791321208738,0.877208678791262,57622.7590108194,93200.1078868619,8130.37502332153,18667.5206855929,21280.5927904357
"18",44,45,NA,27,100,"AD051018D9WTS_T5","27_100_AD051018D9WTS_T5.fcs compensated","AD","5/10/2018","Spleen",1328,0,5,"","",9,"WT",4.7,0.027,12.5,325553,240283,236301,233332,230924,4100,2483,569,222715,3961,2276,48802,7630,540,1,334,537,1080,450,28499,261,1,255,21,9,0.211333598932982,0.0177547591415357,0.0107524553532764,0.0024640141345204,0.0014463633056763,0.136329209795506,0.000439367311072,0.0330411737194921,0.272658419591012,0.197715289982425,0.583971968361952,0.483333333333333,1,2.64166998666228,0.221934489269197,0.134405691915955,0.0308001766815056,0.0180795413209541,30256.1535484388,5.90534674498924e-05,0.413014671493652,60512.3070968777,0.0265740603524516,1.54266122187386,14623.8075484121,5.90534674498924e-05,606.9213564694,15025.4246435573,0.191678335720758,23701.0262118717,0.000978852382550302,167977.309508886,216,0,1,45800.4277378432,122176.881771043,6462.28434961409,23701.0262118717,23701.0262118717
"19",46,47,NA,29,104,"AD051018D9WTS_T1","29_104_AD051018D9WTS_T1.fcs compensated","AD","5/10/2018","Spleen",1328,0,1,"","",9,"WT",6.7,0.059,10.6,594739,446760,443291,437930,433603,12770,5420,621,412819,12589,5179,159048,21431,1178,2,814,521,2393,1365,100448,325,1,211,99,9,0.366805580219694,0.0294509032455956,0.0124999135153585,0.001432185662922,0.0018772932844099,0.0935737548653586,0.0003861749372465,0.0494253960420016,0.1900865835253,0.263564394670786,0.631557768723907,0.275891341256367,0.5,3.88813915032876,0.312179574403314,0.1324990832628,0.015181168026974,0.0198993088147453,29211.8149691877,5.11678251642403e-05,0.523909198045216,59341.148744708,0.034922040674594,2.4555844862697,8059.2868123819,2.55839125821202e-05,1092.3278060723,20060.2003507333,0.282967759434126,34988.9634540297,0.00144504419065143,247978.795980096,216,0,1,47137.4421145739,200841.353865522,6650.93252406808,34988.9634540297,34988.9634540297
"20",48,49,NA,11,108,"AD052218D4WTS_T2","11_108_AD052218D4WTS_T2.fcs compensated","AD","5/22/2018","Spleen",1372,0,2,"","",4,"WT",2.9,0.027,4.8,631926,500521,489568,471063,457170,7798,3099,236,443831,7551,2948,182210,15353,220,0,260,206,4008,2029,125941,93,0,155,108,4,0.398560710457817,0.0170571122339611,0.0067786600170614,0.0005162193494761,0.0005687162324736,0.0291352138789564,0,0.0335826935275718,0.530790623758443,0.688263229308005,0.691185994182537,0.422727272727273,NA,1.91309141019752,0.0818741387230133,0.0325375680818951,0.0024778528774854,0.0027298379158737,2385.4205428503,0,0.161196928932345,43458.0251624735,0.0223944116818742,1.32230198831944,1008.3823203867,NA,51.2453444336004,1325.79287803,0.079488718180163,3828.70659234452,0.000364620491144276,75660.0115878185,96,0.258132204167431,0.741867795832569,40159.6247442692,35500.3868435493,2032.24156033861,2840.39412055225,3828.70659234452
"21",50,51,NA,13,112,"AD052218D4WTS_T3","13_112_AD052218D4WTS_T3.fcs compensated","AD","5/22/2018","Spleen",1372,0,3,"","",4,"WT",2.9,0.027,5.45,934998,749203,730455,700513,675902,7346,2889,266,662635,6840,2752,189312,18422,122,0,633,230,3402,1922,118384,59,0,189,199,4,0.280087941743034,0.0108684395075026,0.0042742882843962,0.0003935481771025,0.0009365263011501,0.0178362573099415,0,0.0272554305209927,0.497368421052632,0.698401162790698,0.625338066260987,0.483606557377049,NA,1.52647928249953,0.059232995315889,0.0232948711499596,0.0021448375652091,0.0051040683412684,1056.4949456927,0,0.14854209633941,29460.6213544816,0.0162691650981913,0.954565602705718,510.9278835727,NA,24.7203839482968,520.8466781717,0.0581765003701962,2802.16810116445,0.000266859808834228,55374.3322690317,96,0,1,27541.4442074921,27832.8880615396,1393.70992400021,2802.16810116445,2802.16810116445
"22",34,35,NA,17,80,"JA042618D7WTS_1","17_80_JA042618D7WTS_1.fcs compensated","JA","4/26/2018","Spleen",8813,1,10021,"4/19/2018","",7,"WT",4.439,0.029,8.8,616794,500762,494505,488334,479948,25375,9077,1896,440855,24618,8173,137416,37193,3215,7,146,191,6263,2427,61327,1807,2,71,31,7,0.286314350721328,0.052870310950353,0.0189124655170977,0.0039504279630293,0.0003041996216256,0.130595499228207,0.0008564786492108,0.0774938118296149,0.254407344219677,0.296953383090664,0.446287186353845,0.562052877138414,0.285714285714286,2.51956628634769,0.465258736363106,0.16642969655046,0.0347637660746581,0.0026769566703059,60760.6969456246,0.0001425434816901,0.681945544100611,118365.23949314,0.0494218614374117,1.12445014876612,34150.7245352235,4.07267090543153e-05,1392.4884271363,25217.4839832647,0.404498039417481,27627.216092214,0.000978003449664374,376870.823325267,168,0,1,95878.7052760643,280992.118049203,7028.56667420327,27627.216092214,27627.216092214
